Acquisition,Amplitude (pA),Est Tau (ms),Timestamp (ms),Rise Time (ms),Rise Rate (pA/ms),IEI (ms)
136,25.36150348980725,4.183839103303581,465.6,1.5,23.03166527174891,401.5
136,17.31800068284699,7.002828536362722,1087.4,1.6,15.06270449781608,346.1999999999998
137,17.76121811658952,6.403191384915226,757.7,2.8,9.070632981442559,282.0999999999999
137,26.55320078101456,4.933797713786953,1039.8,1.6,23.38468026855744,1254.4
137,6.906082071437475,4.089390401640048,2294.2,2.5,3.169470094439603,5885.7
137,15.12367330509353,4.766268603563367,8179.9,1.3,15.35458076702281,1121.300000000001
137,6.035274048809625,5.456928464319208,9301.2,1.6,5.235431411525352,
138,11.03444776737432,2.872922294140153,8927.9,2.9,4.549808236832583,
138,40.64499396043626,4.535575731757854,929.2,1.4,39.53163650176403,1808.0
138,14.84413697630219,5.465545708201534,6210.0,2.6,7.607701569899965,2717.9
138,19.84100687296189,4.632794038850625,2737.2,2.1,13.98389442417261,3472.8
139,10.30087058311339,3.096453242228199,1287.7,2.2,4.638941711910053,963.8
139,8.336992838945276,2.030490790328986,2251.5,1.8,6.231954016953951,1167.3
139,7.400805460819154,6.135176874425087,5907.5,2.7,1.469390170334651,1600.0
139,20.08941359318295,6.220415476651397,7507.5,2.2,9.48465410839812,
139,13.2610254427949,3.578246047107677,3418.8,2.4,6.852176128068859,2488.7
140,10.47911089024799,6.117508695862125,2914.5,1.6,8.986301509500912,1295.6
140,6.60591998082838,2.812719302262122,705.6,1.9,4.278325334913459,323.4
140,19.89397906692878,5.268422043195278,1029.0,1.3,21.12983529485339,1257.9
140,34.10518474103114,4.507545317092081,2286.9,1.4,33.28322299905054,627.5999999999999
140,12.32475481911557,5.866369751963793,5332.8,1.5,11.15857518706388,
140,8.826264428164109,6.176299176682368,4210.1,1.2,9.940674280966329,237.5
140,8.251386525928641,4.184419735699339,4447.6,1.9,5.564191466081991,885.1999999999998
141,6.754572597316017,3.895067317700159,5842.6,3.0,1.317858918599341,400.5
141,6.144625199904127,9.30813206666935,5470.3,1.9,4.266527509580135,372.3000000000002
141,9.482185424332295,5.582004620569205,2245.1,1.3,9.846781212885869,3225.2
141,8.632733243486303,3.326025173980725,478.4,2.2,3.848421676790497,1766.7
141,10.52125086072868,7.199340553795627,6581.7,1.5,9.474072657706524,750.0
