Baseline (mV),Mem Tau Min (ms),Mem Tau Deltav (ms),Baseline Stability,Threshold (ms),Threshold (mV),HW Left (ms),HW Right (ms),HW (mV),FW Left (ms),FW Right (ms),FW (mV),AUC,AUC Left,AUC Right,Min Velocity (ms),Min Velocity,Max Velocity (ms),Max Velocity,AHP (ms),AHP (mV),Spike (ms),Spike (mV),Rheobase (pA),HW (ms),FW (ms),Sag (mV),Sag (ms),FI Midpoint,FI Slope,FI Max Gain,FI Max Current,Delta V (mV) Membrane Resistance,AUC Vscale,AUC Offset,Max Freq (Hz),Resting Potential (mV),cell_type
-73.94063285040797,135.1875,88.875,0.9368061182313759,538.075,-40.59380498406554,538.4397376039049,539.4784840535851,1.67418785096636,538.075,540.7575,-40.59380498406555,935.2791422529536,222.191902191036,713.0947881714376,539.0,-6.617623628224052,538.4000000000001,29.36417261435675,580.325,-59.99456348607116,538.7,43.95561654055481,100.0,1.038746449680175,2.682500000000033,-2.758803717463831,4080.75,174.4583924523026,41.33077170161543,0.04244557384922842,174.4744744744745,155.7544521121728,139.0283443482245,844.9222853512899,23.21428571428572,-64.6,Pyramidal
-72.2553190393837,86.5625,51.625,0.4021148091607569,463.375,-40.39650916739764,463.7148760570307,464.593891055091,-1.210719414158303,463.375,466.035,-40.39650916739764,765.683002889931,206.3174523141121,559.3719588572172,464.3,-7.439689839484219,463.675,30.51506505760291,525.475,-57.81608811897305,463.975,37.97920457944079,162.5,0.8790149980603132,2.660000000000011,-2.193105803764524,3741.25,218.1088124449338,33.85933733885763,0.03075964257909858,218.018018018018,98.27331501592502,60.82841017780183,750.5636536998838,12.85714285714286,-71.6,Pyramidal
-74.90615676840012,86.8125,40.6875,0.3416692646501097,422.375,-39.14696903176884,422.7218965662378,423.630468688107,1.846355961336156,422.375,425.3175,-39.14696903176884,849.4835730310658,187.1908559589812,662.2963281850768,423.175,-7.077980042078297,422.65,34.3047900253385,480.55,-57.84897076929369,422.95,42.84582892770823,243.75,0.9085721218692129,2.94250000000001,-1.257889346606621,3818.0,260.67338424729,15.86819456122076,0.0271355204070447,260.6606606606607,80.26722648412036,101.0808221643106,801.3892000874564,5.357142857142858,-63.8,Pyramidal
-73.26952821335814,98.95,56.90000000000001,0.5215590317217508,434.3,-41.17089524524842,434.6479971293385,435.6561054146485,1.78096589723589,434.3,437.436,-41.17089524524842,974.5187834420419,218.3834629934514,756.1352513524901,435.2,-6.556790973388212,434.6,34.50701422765191,504.0400000000001,-58.73680224850933,434.9,44.73822231694491,170.0,1.008108285310016,3.13599999999999,-2.400776621534385,3764.0,217.7407848908475,26.23280633994069,0.03394107452870854,217.7177177177177,92.1789736096343,86.27918339544732,908.4290633663676,12.0,-67.4,Pyramidal
-73.35290219182097,176.95,139.75,1.333073301328043,469.26,-35.80444929805102,469.6324862348749,470.9314255369806,1.768991953206196,469.26,472.47,-35.80444929805102,1039.327175471686,201.9728455801091,837.3670538548789,470.2,-4.656176439151243,469.5600000000001,26.31924593872334,512.42,-58.25013906071034,469.9,39.35205303295591,85.0,1.298939302105646,3.209999999999991,-2.537253732986116,4529.4,165.5686537117908,48.7725181648968,0.03707666295451784,165.7157157157157,227.1618060584594,128.6727154433528,982.6377290049163,20.57142857142857,-60.0,Pyramidal
-71.98902686836455,96.875,40.0,0.3462437379381065,407.925,-37.54394060827698,408.2643146609534,409.0870521204239,3.496984323927018,407.925,410.5875,-37.54394060827698,762.6228988132904,176.4030390198323,586.2255599507919,408.775,-7.900045614678304,408.225,32.85794897219586,444.95,-55.84312938821911,408.475,44.54750326234213,212.5,0.8227374594705026,2.662499999999994,-2.096719243083328,3567.75,240.6663571173985,24.72957941202043,0.0285674143292618,240.5405405405405,83.25797172873385,125.5738675521987,730.2729765396879,8.928571428571429,-62.4,Pyramidal
-74.21283421051396,105.8125,62.875,0.9910250787820533,462.1,-42.85448623581306,462.450589746484,463.2451918697559,-0.1479396029525706,462.1,464.595,-42.85448623581306,749.4580405560098,193.5136096248656,555.9507482546516,462.9,-8.491932393422466,462.4,35.75162282096426,516.25,-62.13193563700559,462.675,42.56632686711318,106.25,0.7946021232718863,2.495000000000005,-2.761246271365486,3686.0,185.7638089680272,41.8108952113524,0.03957590756714069,185.8858858858859,114.4415609441219,137.1458639332958,677.2120611394996,21.42857142857143,-64.6,Pyramidal
-73.9080759121758,70.125,54.375,0.7583901014233987,429.05,-40.23209598931366,429.40905857218,430.2111049167696,-0.3044944881134679,429.05,431.62,-40.23209598931366,725.7365515165866,193.74990845017,531.9943164340976,429.925,-8.080900505370556,429.35,35.72696213455296,451.35,-57.80786746054314,429.65,39.63155511184453,131.25,0.8020463445896553,2.570000000000007,-2.079729639673598,3676.75,176.7151438313608,37.81105184896767,0.05821916355488366,176.5765765765766,136.885730024303,43.95019228625419,674.0071939293803,30.0,-69.7,Pyramidal
-72.21492800853952,100.8125,81.375,0.8482449928499928,378.35,-38.55508160847006,378.7235258311696,379.6107248712767,0.8694804839834642,378.35,380.6075,-38.55508160847006,753.7226426315707,184.5081141270444,569.2495566370242,379.175,-7.521895368337813,378.7,29.0764482698474,401.125,-58.5806096886591,378.95,40.32208965018408,87.5,0.887199040107177,2.257500000000007,-2.447557913818727,3958.0,144.2613099778723,38.42465561421736,0.05251409493898684,144.1441441441441,205.1575597982017,120.8752382275895,827.8246457672631,27.5,-64.4,Pyramidal
-72.92045930269545,163.9375,146.1875,0.9405671757366919,591.625,-36.45881370024047,592.0008174639281,593.4332114542876,-2.174640989645057,591.625,595.0925,-36.45881370024046,1034.617465702119,206.4579490762046,828.162309612175,592.5999999999999,-3.937691820358475,591.95,21.08597705554754,625.975,-59.1724972949723,592.3,32.11788130784782,81.25,1.4323939903595,3.46750000000003,-1.488499572275014,4356.5,140.9290645663583,40.08096853844531,0.03897015595229192,140.8408408408409,205.7959664435137,186.053459223362,943.4598771751166,22.14285714285715,-64.4,Pyramidal
