Peak (ms),Timestamp (ms),Est Tau (ms),Rise Time (ms),Rise Rate (pA/ms),Amplitude (pA),Fit Amplitude (pA),Fit Tau (ms),Amp Offset (pA),Start (ms),IEI (ms),Acquisition,Holding Current (pA)
7368.7,7368.7,4.197975256787322,2.1,4.187335102021669,8.793403714245507,-6.373845158819262,0.7244518253842835,-1.6859563598866345,73641,10.800000000000182,1,-45.16672668427716
7379.5,7379.5,7.531516617057787,1.7,7.5087781504096185,12.764922855696351,-12.009652330596253,4.141284173429712,0.6657605033252831,73753,347.60000000000036,1,-45.16672668427716
7727.1,7727.1,2.8620731632123353,1.5,5.3494138554727,8.02412078320905,-7.2661183086968295,1.7994640836875544,0.08235110911692163,77230,60.899999999999636,1,-45.16672668427716
7788.0,7788.0,3.5275189491163474,1.5,30.947411432005783,46.421117148008676,-43.44027207911355,2.542325000466531,0.31815349129433035,77837,30.899999999999636,1,-45.16672668427716
7818.9,7818.9,2.7559372165749663,1.5,6.138420938632721,9.207631407949082,-7.919172362589992,4.025220184445471,1.0698490366540538,78146,34.80000000000018,1,-45.16672668427716
7853.7,7853.7,3.931125521437207,2.6,5.283530953111723,13.73718047809048,-12.478767898228575,5.557521876598436,0.5427474383522521,78488,145.80000000000018,1,-45.16672668427716
7999.5,7999.5,4.596475906165142,1.6,9.243838005146932,14.790140808235092,-10.229120908986866,3.2961341262506645,0.2374181587710541,79952,159.10000000000036,1,-45.16672668427716
8158.6,8158.6,2.6794583527502254,2.4,4.174651954407368,10.019164690577682,-11.791558346747786,1.992833242214984,1.0011334929880409,81544,35.79999999999927,1,-45.16672668427716
8194.4,8194.4,4.01268147041701,1.5,7.077689202429323,10.616533803643986,-8.702034673796238,3.031802382934931,0.6652915598428667,81902,178.60000000000036,1,-45.16672668427716
8373.0,8373.0,3.794023454953276,2.3,7.594284254703554,17.466853785818174,-16.831670164303333,3.052376716808561,0.6172205668972877,83686,18.100000000000364,1,-45.16672668427716
8391.1,8391.1,1.0393184171363827,1.6,3.1954166311553127,5.1126666098485005,-5.903253621490202,0.9908475909661019,1.5763655434595745,83867,74.39999999999964,1,-45.16672668427716
8465.5,8465.5,2.8546488802792735,1.6,7.71126508045727,12.338024128731632,-11.699142355012805,2.909001630629284,1.7672948047381118,84612,640.2999999999993,1,-45.16672668427716
9105.8,9105.8,5.75897986756172,1.7,13.76151501590288,23.394575527034895,-22.071102032616512,4.828764438765828,1.6521795806288333,91015,47.70000000000073,1,-45.16672668427716
9153.5,9153.5,2.857035649428144,1.7,12.685313787771397,21.565033439211376,-19.00705733108359,2.894317911702237,0.0083320242178064,91492,129.29999999999927,1,-45.16672668427716
9282.8,9282.8,1.7174343566584866,1.5,19.1865621966023,28.77984329490345,-28.99902017828443,1.529447459493386,-0.022362554961486748,92785,220.8000000000011,1,-45.16672668427716
9503.6,9503.6,2.700111383863259,1.8,7.934621292770776,14.282318326987397,-14.641672377975942,2.230393636168426,1.4699350473074704,94992,289.7999999999993,1,-45.16672668427716
9793.4,9793.4,4.688972518696391,2.2,3.504437505636341,7.7097625123999505,-7.238633384983424,4.168579322780569,1.3713412365052302,97886,33.20000000000073,1,-45.16672668427716
9826.6,9826.6,3.032992424041731,2.3,6.942187786773567,15.967031909579203,-18.026581819636892,3.193165972441479,2.0317047708303244,98219,62.19999999999891,1,-45.16672668427716
9888.8,9888.8,2.0655177169639503,1.5,47.62442125107936,71.43663187661905,-68.35069466659095,1.6934528303799123,-1.1489153252385096,98845,99.60000000000036,1,-45.16672668427716
9988.4,9988.4,2.8141514995513717,1.4,6.1560343959399235,8.618448154315892,-7.563985691670724,2.4738751404856836,1.1872844435957355,99843,0.0,1,-45.16672668427716
18.4,10018.4,1.9343719013881497,1.6,14.112595644397775,22.580153031036442,-22.39697264820482,1.5767621597849446,0.37725831288348266,141,108.5,2,-44.403797399657776
126.9,10126.9,1.125474502947759,3.5,1.6730759212996562,5.855765724548797,-4.953276290582802,1.5478475677962658,-0.1627957237752034,1224,36.0,2,-44.403797399657776
162.9,10162.9,3.4885781114993053,2.3,3.2487772793670473,7.472187742544208,-7.555104609757061,3.0260295154462775,0.31177310065016217,1585,425.6,2,-44.403797399657776
